avbid,store_code,name,locale,url
hpla1,hpla1,Plaza Electronics & Appliance Store View - hpla1,en_US,https://www.plazaelectronicsandappliance.com/
goldtest1,goldtest1,Gold Test Site Store View - goldtest1,en_US,https://gold.brandsource.com/
ngre2,ngre2,Greenville TV and Appliance Inc. Webstore View - ngre2,en_US,https://www.greenvilleappliance.com/
omil3,omil3,Miller Maytag Appliance Store View - omil3,en_US,https://www.millermaytag.com/
brie1,brie1,Riester’s General Service Store View - brie1,en_US,https://www.riestersappliances.com/
hbat1,hbat1,Hamlin & Kersey Store View - hbat1,en_US,https://www.hamlinkersey.com/
bfis1,bfis1,Fischer's Furniture & Appliance Store View - bfis1,en_US,https://www.gofischers.com/
ldow1,ldow1,Downs TV & Appliance Store View - ldow1,en_US,https://www.downstv.com/
usla1,usla1,Slager Appliances Store View - usla1,en_US,https://www.slagerappliances.com/
obil1,obil1,Bill & Rod’s Appliance Store View - obil1,en_US,https://www.billandrodsappliance.com/
omkw1,omkw1,M&K Maytag Home Appliance Center Store View - omkw1,en_US,https://www.mandkmaytag.com/
kzeg1,kzeg1,Zeglin’s Home TV & Appliance Inc. Store View - kzeg1,en_US,https://www.zeglins.com/
npla1,npla1,Plaza Appliance Mart Store View - npla1,en_US,https://www.plazaappliancemart.com/
oart3,oart3,The Maytag Store Store View - oart3,en_US,https://www.themaytagstoreusa.com/
ujoh1,ujoh1,Johnson Mertz Store View - ujoh1,en_US,https://www.johnsonmertzappliance.com/
gkus1,gkus1,Kusel’s Furniture & Appliance Store View - gkus1,en_US,https://www.kusels.com/
dzaj1,dzaj1,Zajic Appliance Service and Sales Store View - dzaj1,en_US,https://www.zajicappliance.com/
dasi1,dasi1,Asien’s  Appliance Store View - dasi1,en_US,https://www.asiensappliance.com/
dpar1,dpar1,Pardini Appliance Store View - dpar1,en_US,https://www.pardiniappliance.com/
bway1,bway1,Wayne’s Appliance Center Store View - bway1,en_US,https://www.gowaynes.com/
nste2,nste2,Steifle’s Appliance Store View - nste2,en_US,https://www.steiflesappliance.com/
